,suite_id,sample_id,code,value,character
11963,96,3,6,5,五
1730,75,1,11,10,十
109,18,9,10,9,九
14253,31,3,9,8,八
4561,6,10,14,14,万
3551,59,10,13,13,千
1729,74,9,11,10,十
8383,43,3,3,2,二
756,77,6,10,9,九
10571,60,10,5,4,四
4252,31,2,14,14,万
11291,35,10,6,5,五
5842,85,2,15,15,亿
13502,54,2,8,7,七
2649,67,9,12,12,百
12417,46,7,7,6,六
7165,23,5,2,1,一
1942,94,2,11,10,十
10659,68,9,5,4,四
13358,40,8,8,7,七
12961,96,10,7,6,六
3652,68,2,13,13,千
4574,60,4,14,14,万
6468,50,8,1,0,零
1278,33,8,11,10,十
8666,69,6,3,2,二
8751,77,10,3,2,二
7537,57,7,2,1,一
3658,68,8,13,13,千
1855,86,5,11,10,十
4101,18,10,14,14,万
3907,90,7,13,13,千
883,89,3,10,9,九
8368,41,8,3,2,二
12603,63,3,7,6,六
2062,14,2,12,12,百
2543,58,3,12,12,百
6766,78,6,1,0,零
14136,20,6,9,8,八
12101,18,10,7,6,六
5728,74,8,15,15,亿
4937,93,7,14,14,万
9692,71,2,4,3,三
289,34,9,10,9,九
10250,31,1,5,4,四
3263,32,3,13,13,千
9998,99,8,4,3,三
13956,95,6,8,7,七
6105,18,5,1,0,零
14213,28,3,9,8,八
8979,97,9,3,2,二
4413,46,3,14,14,万
8966,96,6,3,2,二
8329,38,9,3,2,二
8724,74,4,3,2,二
11713,73,3,6,5,五
10198,26,8,5,4,四
5906,90,6,15,15,亿
4703,72,3,14,14,万
204,27,4,10,9,九
4897,9,7,14,14,万
9328,38,8,4,3,三
4014,10,4,14,14,万
11432,48,2,6,5,五
175,24,5,10,9,九
4104,18,4,14,14,万
8214,28,4,3,2,二
12411,46,10,7,6,六
3329,38,9,13,13,千
11327,38,7,6,5,五
7808,81,8,2,1,一
2424,47,4,12,12,百
9253,31,3,4,3,三
5047,12,7,15,15,亿
10821,83,10,5,4,四
1507,54,7,11,10,十
1254,31,4,11,10,十
13672,7,2,8,7,七
14493,53,3,9,8,八
3774,79,4,13,13,千
4580,61,1,14,14,万
979,97,9,10,9,九
2265,32,5,12,12,百
5270,33,1,15,15,亿
2363,41,3,12,12,百
5587,61,7,15,15,亿
2016,10,6,12,12,百
2633,66,3,12,12,百
10989,98,9,5,4,四
14796,80,6,9,8,八
5792,80,2,15,15,亿
2443,49,3,12,12,百
12358,40,8,7,6,六
12744,76,4,7,6,六
905,90,5,10,9,九
7520,56,1,2,1,一
13072,15,2,8,7,七
7519,55,9,2,1,一
2290,35,1,12,12,百
13790,80,1,8,7,七
2808,81,8,12,12,百
210,28,1,10,9,九
12462,50,2,7,6,六
10662,69,2,5,4,四
9687,70,7,4,3,三
12487,52,7,7,6,六
7912,91,2,2,1,一
9980,98,1,4,3,三
11576,60,6,6,5,五
1970,97,1,11,10,十
2563,6,3,12,12,百
4548,58,8,14,14,万
3508,54,8,13,13,千
3059,13,9,13,13,千
4880,89,1,14,14,万
10987,98,7,5,4,四
14440,49,1,9,8,八
8747,76,7,3,2,二
7850,86,1,2,1,一
6542,58,2,1,0,零
10131,20,10,5,4,四
5406,45,6,15,15,亿
12239,3,9,7,6,六
13440,49,1,8,7,七
4152,22,2,14,14,万
1461,50,10,11,10,十
11045,12,5,6,5,五
8636,66,6,3,2,二
6581,61,10,1,0,零
14595,62,5,9,8,八
2521,56,10,12,12,百
2390,44,1,12,12,百
1163,23,3,11,10,十
7103,18,3,2,1,一
6525,56,5,1,0,零
5063,14,3,15,15,亿
14450,5,1,9,8,八
6295,35,5,1,0,零
14633,66,3,9,8,八
6375,42,5,1,0,零
7882,89,2,2,1,一
2259,31,9,12,12,百
987,98,7,10,9,九
6571,60,10,1,0,零
2846,85,6,12,12,百
4999,99,9,14,14,万
1786,8,6,11,10,十
219,28,9,10,9,九
6134,20,4,1,0,零
6259,31,9,1,0,零
5667,69,7,15,15,亿
6966,96,6,1,0,零
189,25,9,10,9,九
11242,30,2,6,5,五
5931,93,10,15,15,亿
6814,82,4,1,0,零
12782,8,2,7,6,六
684,70,4,10,9,九
2932,93,2,12,12,百
7466,50,6,2,1,一
2485,52,5,12,12,百
3166,23,6,13,13,千
13820,83,1,8,7,七
8321,38,10,3,2,二
4472,51,2,14,14,万
5354,40,4,15,15,亿
10704,72,4,5,4,四
12806,81,6,7,6,六
10016,10,6,5,4,四
5187,25,7,15,15,亿
7302,36,2,2,1,一
4117,19,7,14,14,万
2009,1,9,12,12,百
13546,58,6,8,7,七
4948,94,8,14,14,万
13199,26,9,8,7,七
11552,59,2,6,5,五
7620,65,1,2,1,一
13530,57,1,8,7,七
13064,14,4,8,7,七
8173,24,3,3,2,二
5771,79,10,15,15,亿
11566,6,6,6,5,五
9032,11,2,4,3,三
7860,87,1,2,1,一
7471,51,10,2,1,一
7501,54,10,2,1,一
13753,77,3,8,7,七
10580,61,1,5,4,四
5094,17,4,15,15,亿
2588,61,8,12,12,百
10476,51,6,5,4,四
11673,7,3,6,5,五
8327,38,7,3,2,二
12208,27,8,7,6,六
11482,52,2,6,5,五
1912,91,2,11,10,十
2433,48,3,12,12,百
9177,24,7,4,3,三
14340,4,1,9,8,八
12940,94,1,7,6,六
8085,16,5,3,2,二
11080,16,1,6,5,五
10069,14,9,5,4,四
9105,18,5,4,3,三
3664,69,4,13,13,千
1718,73,8,11,10,十
5242,30,2,15,15,亿
1294,35,4,11,10,十
4015,10,5,14,14,万
10726,74,6,5,4,四
6520,56,1,1,0,零
10506,54,6,5,4,四
7465,50,5,2,1,一
4770,79,1,14,14,万
3698,71,8,13,13,千
12419,46,9,7,6,六
7648,67,8,2,1,一
1672,7,2,11,10,十
4834,84,4,14,14,万
13651,68,10,8,7,七
8902,90,2,3,2,二
3777,79,7,13,13,千
12972,97,2,7,6,六
8650,68,1,3,2,二
13989,98,9,8,7,七
8825,83,5,3,2,二
11468,50,8,6,5,五
13309,36,9,8,7,七
1617,64,7,11,10,十
3259,31,9,13,13,千
13037,11,7,8,7,七
5476,51,6,15,15,亿
2821,83,10,12,12,百
2103,18,3,12,12,百
13531,57,10,8,7,七
2838,84,8,12,12,百
11983,98,3,6,5,五
2315,37,5,12,12,百
10056,13,6,5,4,四
2847,85,7,12,12,百
10489,52,9,5,4,四
47,12,7,10,9,九
13900,90,1,8,7,七
4977,97,7,14,14,万
14664,69,4,9,8,八
6147,21,7,1,0,零
7349,4,9,2,1,一
4556,59,6,14,14,万
10295,35,5,5,4,四
9382,43,2,4,3,三
10517,55,7,5,4,四
3090,17,1,13,13,千
8619,64,9,3,2,二
3149,21,9,13,13,千
7286,34,6,2,1,一
4654,68,4,14,14,万
7375,42,5,2,1,一
13939,93,9,8,7,七
8920,92,1,3,2,二
11890,9,1,6,5,五
14611,64,10,9,8,八
2857,86,7,12,12,百
2024,100,4,12,12,百
4761,78,10,14,14,万
11608,63,8,6,5,五
3630,66,1,13,13,千
5607,63,7,15,15,亿
2350,40,1,12,12,百
2887,89,7,12,12,百
14662,69,2,9,8,八
5775,79,5,15,15,亿
3381,43,10,13,13,千
8213,28,3,3,2,二
9093,17,3,4,3,三
7889,89,9,2,1,一
6931,93,10,1,0,零
4713,73,3,14,14,万
1135,20,5,11,10,十
14482,52,2,9,8,八
10328,38,8,5,4,四
10866,87,6,5,4,四
4050,13,1,14,14,万
7706,72,6,2,1,一
14155,22,5,9,8,八
14994,99,4,9,8,八
9488,52,8,4,3,三
6978,97,8,1,0,零
2131,20,10,12,12,百
8394,44,4,3,2,二
2613,64,3,12,12,百
3073,15,3,13,13,千
4153,22,3,14,14,万
3431,48,10,13,13,千
12959,95,9,7,6,六
4008,1,8,14,14,万
1946,94,6,11,10,十
10133,20,3,5,4,四
5002,1,2,15,15,亿
4581,61,10,14,14,万
7870,88,1,2,1,一
977,97,7,10,9,九
1022,100,2,11,10,十
11454,5,4,6,5,五
11343,4,3,6,5,五
9850,86,1,4,3,三
13126,2,6,8,7,七
9279,33,9,4,3,三
5622,65,2,15,15,亿
7740,76,1,2,1,一
11458,5,8,6,5,五
5093,17,3,15,15,亿
13519,55,9,8,7,七
2174,24,4,12,12,百
3101,18,10,13,13,千
6270,33,1,1,0,零
9517,55,7,4,3,三
3743,76,3,13,13,千
4555,59,5,14,14,万
2888,89,8,12,12,百
13396,44,6,8,7,七
6419,46,9,1,0,零
10612,64,2,5,4,四
2526,56,6,12,12,百
12923,92,3,7,6,六
2142,21,2,12,12,百
14543,58,3,9,8,八
8403,45,3,3,2,二
5614,64,4,15,15,亿
4946,94,6,14,14,万
3320,38,1,13,13,千
8077,15,7,3,2,二
5942,94,2,15,15,亿
10947,94,7,5,4,四
4898,9,8,14,14,万
13740,76,1,8,7,七
4376,42,6,14,14,万
1865,87,5,11,10,十
11798,80,8,6,5,五
6896,9,6,1,0,零
1149,21,9,11,10,十
3866,87,6,13,13,千
13648,67,8,8,7,七
10272,33,2,5,4,四
1958,95,8,11,10,十
6048,12,8,1,0,零
11124,2,4,6,5,五
10724,74,4,5,4,四
8127,2,7,3,2,二
11456,5,6,6,5,五
1813,82,3,11,10,十
14567,6,7,9,8,八
14301,36,10,9,8,八
13885,89,5,8,7,七
4201,27,10,14,14,万
14390,44,1,9,8,八
9650,68,1,4,3,三
3066,14,6,13,13,千
5738,75,8,15,15,亿
5807,81,7,15,15,亿
8017,10,7,3,2,二
1788,8,8,11,10,十
6880,89,1,1,0,零
14045,12,5,9,8,八
658,68,8,10,9,九
11078,15,8,6,5,五
4160,23,1,14,14,万
5369,41,9,15,15,亿
8326,38,6,3,2,二
244,30,4,10,9,九
12748,76,8,7,6,六
6022,100,2,1,0,零
13794,80,4,8,7,七
9772,79,2,4,3,三
11606,63,6,6,5,五
520,56,1,10,9,九
2275,33,5,12,12,百
6752,77,2,1,0,零
13997,99,7,8,7,七
8900,90,1,3,2,二
8175,24,5,3,2,二
12542,58,2,7,6,六
7022,100,2,2,1,一
11784,8,4,6,5,五
4668,69,8,14,14,万
821,83,10,10,9,九
13827,83,7,8,7,七
10546,58,6,5,4,四
587,61,7,10,9,九
10068,14,8,5,4,四
3273,33,3,13,13,千
6143,21,3,1,0,零
13542,58,2,8,7,七
9030,11,1,4,3,三
14475,51,5,9,8,八
7510,55,1,2,1,一
683,70,3,10,9,九
14190,26,1,9,8,八
14791,80,10,9,8,八
2431,48,10,12,12,百
8468,50,8,3,2,二
12294,35,4,7,6,六
6174,24,4,1,0,零
7686,70,6,2,1,一
4344,4,4,14,14,万
703,72,3,10,9,九
6586,61,6,1,0,零
6923,92,3,1,0,零
6086,16,6,1,0,零
3937,93,7,13,13,千
390,44,1,10,9,九
8100,18,1,3,2,二
11640,67,1,6,5,五
5933,93,3,15,15,亿
11534,57,4,6,5,五
1712,73,2,11,10,十
6764,78,4,1,0,零
13739,75,9,8,7,七
1115,19,5,11,10,十
6997,99,7,1,0,零
10941,94,10,5,4,四
2571,60,10,12,12,百
10689,70,9,5,4,四
10032,11,2,5,4,四
12838,84,8,7,6,六
4772,79,2,14,14,万
5342,4,2,15,15,亿
9333,39,3,4,3,三
6499,53,9,1,0,零
4527,56,7,14,14,万
2836,84,6,12,12,百
14601,63,10,9,8,八
14251,31,10,9,8,八
12375,42,5,7,6,六
2486,52,6,12,12,百
6450,5,1,1,0,零
2412,46,2,12,12,百
2868,87,8,12,12,百
2740,76,1,12,12,百
12529,56,9,7,6,六
14862,87,2,9,8,八
8659,68,9,3,2,二
10615,64,5,5,4,四
11604,63,4,6,5,五
10993,99,3,5,4,四
14642,67,2,9,8,八
6864,87,4,1,0,零
4340,4,1,14,14,万
10976,97,6,5,4,四
202,27,2,10,9,九
8892,9,2,3,2,二
12841,85,10,7,6,六
10262,32,2,5,4,四
10128,2,8,5,4,四
1928,92,8,11,10,十
7222,29,2,2,1,一
635,66,5,10,9,九
11891,9,10,6,5,五
13342,4,2,8,7,七
2151,22,10,12,12,百
11748,76,8,6,5,五
4127,2,7,14,14,万
11906,90,6,6,5,五
12342,4,2,7,6,六
6803,81,3,1,0,零
2510,55,1,12,12,百
7657,68,7,2,1,一
9564,6,4,4,3,三
8278,33,8,3,2,二
10170,24,1,5,4,四
2405,45,5,12,12,百
6877,88,7,1,0,零
10353,40,3,5,4,四
8332,39,2,3,2,二
5291,35,10,15,15,亿
23,100,3,10,9,九
8231,3,10,3,2,二
9125,2,5,4,3,三
13248,30,8,8,7,七
14727,74,7,9,8,八
3006,1,6,13,13,千
8584,61,4,3,2,二
2661,69,10,12,12,百
13350,40,1,8,7,七
13998,99,8,8,7,七
5739,75,9,15,15,亿
13971,97,10,8,7,七
7081,16,10,2,1,一
3580,61,1,13,13,千
7243,30,3,2,1,一
14109,18,9,9,8,八
11273,33,3,6,5,五
5740,76,1,15,15,亿
6316,37,6,1,0,零
6645,67,5,1,0,零
4038,11,8,14,14,万
13175,24,5,8,7,七
7265,32,5,2,1,一
4779,79,9,14,14,万
5419,46,9,15,15,亿
7436,48,6,2,1,一
10169,23,9,5,4,四
7337,39,7,2,1,一
13726,74,6,8,7,七
8932,93,2,3,2,二
12703,72,3,7,6,六
12904,90,4,7,6,六
10093,17,3,5,4,四
13319,37,9,8,7,七
7705,72,5,2,1,一
9995,99,5,4,3,三
12663,69,3,7,6,六
14434,48,4,9,8,八
6277,33,7,1,0,零
7959,95,9,2,1,一
13605,63,5,8,7,七
4665,69,5,14,14,万
1151,22,10,11,10,十
130,20,1,10,9,九
11417,46,7,6,5,五
4864,87,4,14,14,万
224,29,4,10,9,九
13812,82,2,8,7,七
8079,15,9,3,2,二
9168,23,8,4,3,三
234,3,4,10,9,九
3499,53,9,13,13,千
14414,46,4,9,8,八
13273,33,3,8,7,七
36,11,6,10,9,九
7388,43,8,2,1,一
9104,18,4,4,3,三
7731,75,10,2,1,一
9991,99,10,4,3,三
10974,97,4,5,4,四
6264,32,4,1,0,零
3193,26,3,13,13,千
7946,94,6,2,1,一
14745,76,5,9,8,八
10040,12,1,5,4,四
8050,13,1,3,2,二
12313,37,3,7,6,六
5653,68,3,15,15,亿
5119,19,9,15,15,亿
12213,28,3,7,6,六
14365,41,5,9,8,八
1999,99,9,11,10,十
13328,38,8,8,7,七
463,50,3,10,9,九
12465,50,5,7,6,六
13331,39,10,8,7,七
11893,9,3,6,5,五
8416,46,6,3,2,二
6916,91,6,1,0,零
5286,34,6,15,15,亿
7730,75,1,2,1,一
1132,20,2,11,10,十
11967,96,7,6,5,五
8516,55,6,3,2,二
13095,17,5,8,7,七
7610,64,1,2,1,一
12725,74,5,7,6,六
9262,32,2,4,3,三
10495,53,5,5,4,四
13219,28,9,8,7,七
5091,17,10,15,15,亿
6481,52,10,1,0,零
12764,78,4,7,6,六
7241,30,10,2,1,一
2735,75,5,12,12,百
7805,81,5,2,1,一
13652,68,2,8,7,七
4488,52,8,14,14,万
5133,20,3,15,15,亿
7884,89,4,2,1,一
2376,42,6,12,12,百
693,71,3,10,9,九
9098,17,8,4,3,三
6705,72,5,1,0,零
6820,83,1,1,0,零
1315,37,5,11,10,十
235,3,5,10,9,九
8206,27,6,3,2,二
2356,40,6,12,12,百
11774,79,4,6,5,五
1041,12,10,11,10,十
11719,73,9,6,5,五
12218,28,8,7,6,六
9652,68,2,4,3,三
6765,78,5,1,0,零
385,43,5,10,9,九
3170,24,1,13,13,千
8712,73,2,3,2,二
4140,21,1,14,14,万
965,96,5,10,9,九
13789,8,9,8,7,七
3887,89,7,13,13,千
4277,33,7,14,14,万
11580,61,1,6,5,五
2682,70,2,12,12,百
13092,17,2,8,7,七
10892,9,2,5,4,四
11282,34,2,6,5,五
7491,53,10,2,1,一
6606,63,6,1,0,零
1331,39,10,11,10,十
12506,54,6,7,6,六
10042,12,2,5,4,四
12822,83,2,7,6,六
2662,69,2,12,12,百
6129,2,9,1,0,零
13626,65,6,8,7,七
2188,25,8,12,12,百
7065,14,5,2,1,一
410,46,1,10,9,九
12550,59,1,7,6,六
12416,46,6,7,6,六
4107,18,7,14,14,万
3156,22,6,13,13,千
9038,11,8,4,3,三
10956,95,6,5,4,四
3207,27,7,13,13,千
9172,24,2,4,3,三
6084,16,4,1,0,零
14302,36,2,9,8,八
5565,6,5,15,15,亿
11156,22,6,6,5,五
14551,59,10,9,8,八
8306,36,6,3,2,二
11568,6,8,6,5,五
7170,24,1,2,1,一
4266,32,6,14,14,万
6197,26,7,1,0,零
14303,36,3,9,8,八
7072,15,2,2,1,一
12167,23,7,7,6,六
14233,3,3,9,8,八
12496,53,6,7,6,六
4906,90,6,14,14,万
551,59,10,10,9,九
429,47,9,10,9,九
13283,34,3,8,7,七
5559,59,9,15,15,亿
2648,67,8,12,12,百
7690,71,1,2,1,一
816,82,6,10,9,九
5864,87,4,15,15,亿
11843,85,3,6,5,五
5894,9,4,15,15,亿
7513,55,3,2,1,一
13943,94,3,8,7,七
2632,66,2,12,12,百
1215,28,5,11,10,十
4677,7,7,14,14,万
4598,62,8,14,14,万
4516,55,6,14,14,万
10232,3,2,5,4,四
11247,30,7,6,5,五
6837,84,7,1,0,零
4208,27,8,14,14,万
5212,28,2,15,15,亿
13990,99,1,8,7,七
3325,38,5,13,13,千
12193,26,3,7,6,六
13919,91,9,8,7,七
11827,83,7,6,5,五
3752,77,2,13,13,千
6784,8,4,1,0,零
13360,41,1,8,7,七
6296,35,6,1,0,零
7772,79,2,2,1,一
8663,69,3,3,2,二
8441,49,10,3,2,二
12931,93,10,7,6,六
6909,90,9,1,0,零
4256,31,6,14,14,万
1361,41,10,11,10,十
11883,89,3,6,5,五
9759,77,9,4,3,三
6629,65,9,1,0,零
7294,35,4,2,1,一
3121,2,10,13,13,千
6203,27,3,1,0,零
3398,44,8,13,13,千
7628,65,8,2,1,一
5449,49,9,15,15,亿
4133,20,3,14,14,万
14758,77,8,9,8,八
11168,23,8,6,5,五
1382,43,2,11,10,十
11996,99,6,6,5,五
6461,50,10,1,0,零
14656,68,6,9,8,八
12063,14,3,7,6,六
8136,20,6,3,2,二
4141,21,10,14,14,万
13807,81,7,8,7,七
11767,78,7,6,5,五
3465,50,5,13,13,千
2731,75,10,12,12,百
2936,93,6,12,12,百
8381,43,10,3,2,二
4477,51,7,14,14,万
12387,43,7,7,6,六
14173,24,3,9,8,八
1592,62,2,11,10,十
7219,28,9,2,1,一
568,6,8,10,9,九
2967,96,7,12,12,百
5256,31,6,15,15,亿
9193,26,3,4,3,三
704,72,4,10,9,九
12756,77,6,7,6,六
2338,39,8,12,12,百
14000,1,1,9,8,八
13610,64,1,8,7,七
12373,42,3,7,6,六
9238,3,8,4,3,三
14114,19,4,9,8,八
14812,82,2,9,8,八
10922,92,2,5,4,四
14655,68,5,9,8,八
9600,63,1,4,3,三
13215,28,5,8,7,七
13102,18,2,8,7,七
1519,55,9,11,10,十
10189,25,9,5,4,四
9306,36,6,4,3,三
14628,65,8,9,8,八
6113,19,3,1,0,零
1014,10,4,11,10,十
8113,19,3,3,2,二
10259,31,9,5,4,四
13796,80,6,8,7,七
11898,9,8,6,5,五
1455,5,5,11,10,十
8314,37,4,3,2,二
3519,55,9,13,13,千
7044,12,4,2,1,一
10385,43,5,5,4,四
7014,10,4,2,1,一
2962,96,2,12,12,百
2511,55,10,12,12,百
1754,77,4,11,10,十
12118,19,8,7,6,六
7614,64,4,2,1,一
8487,52,7,3,2,二
1255,31,5,11,10,十
3321,38,10,13,13,千
1646,67,6,11,10,十
6825,83,5,1,0,零
11084,16,4,6,5,五
10150,22,1,5,4,四
6338,39,8,1,0,零
6044,12,4,1,0,零
14023,100,3,9,8,八
11475,51,5,6,5,五
7091,17,10,2,1,一
802,81,2,10,9,九
8172,24,2,3,2,二
69,14,9,10,9,九
10138,20,8,5,4,四
4251,31,10,14,14,万
8124,2,4,3,2,二
170,24,1,10,9,九
3583,61,3,13,13,千
13883,89,3,8,7,七
3518,55,8,13,13,千
4426,47,6,14,14,万
5443,49,3,15,15,亿
8344,4,4,3,2,二
5198,26,8,15,15,亿
12094,17,4,7,6,六
12685,70,5,7,6,六
11793,80,3,6,5,五
11848,85,8,6,5,五
6886,89,6,1,0,零
1806,81,6,11,10,十
13357,40,7,8,7,七
3304,36,4,13,13,千
11442,49,2,6,5,五
4320,38,1,14,14,万
735,75,5,10,9,九
10006,1,6,5,4,四
10452,5,2,5,4,四
12751,77,10,7,6,六
8479,51,9,3,2,二
3896,9,6,13,13,千
10035,11,5,5,4,四
11886,89,6,6,5,五
2357,40,7,12,12,百
2921,92,10,12,12,百
6354,40,4,1,0,零
2106,18,6,12,12,百
11881,89,10,6,5,五
8822,83,2,3,2,二
11079,15,9,6,5,五
5495,53,5,15,15,亿
7605,63,5,2,1,一
7793,80,3,2,1,一
6953,95,3,1,0,零
6718,73,8,1,0,零
10923,92,3,5,4,四
9102,18,2,4,3,三
415,46,5,10,9,九
6774,79,4,1,0,零
11620,65,1,6,5,五
10633,66,3,5,4,四
7291,35,10,2,1,一
5943,94,3,15,15,亿
5573,60,3,15,15,亿
3758,77,8,13,13,千
7904,90,4,2,1,一
4634,66,4,14,14,万
4100,18,1,14,14,万
6156,22,6,1,0,零
3124,2,4,13,13,千
7094,17,4,2,1,一
1411,46,10,11,10,十
1835,84,5,11,10,十
13495,53,5,8,7,七
360,41,1,10,9,九
737,75,7,10,9,九
5366,41,6,15,15,亿
9243,30,3,4,3,三
5281,34,10,15,15,亿
10158,22,8,5,4,四
12880,89,1,7,6,六
10475,51,5,5,4,四
2744,76,4,12,12,百
8460,50,1,3,2,二
3482,52,2,13,13,千
8240,30,1,3,2,二
8537,57,7,3,2,二
2071,15,10,12,12,百
14792,80,2,9,8,八
1577,60,7,11,10,十
4497,53,7,14,14,万
8775,79,5,3,2,二
7760,78,1,2,1,一
2667,69,7,12,12,百
14736,75,6,9,8,八
14086,16,6,9,8,八
4372,42,2,14,14,万
1490,53,1,11,10,十
12014,10,4,7,6,六
10562,6,2,5,4,四
10117,19,7,5,4,四
4379,42,9,14,14,万
7351,40,10,2,1,一
246,30,6,10,9,九
12757,77,7,7,6,六
2812,82,2,12,12,百
1197,26,7,11,10,十
13204,27,4,8,7,七
7559,59,9,2,1,一
10363,41,3,5,4,四
2029,100,9,12,12,百
13400,45,1,8,7,七
9653,68,3,4,3,三
10422,47,2,5,4,四
13579,60,9,8,7,七
9267,32,7,4,3,三
10435,48,5,5,4,四
890,9,1,10,9,九
10444,49,4,5,4,四
14766,78,6,9,8,八
9348,4,8,4,3,三
6058,13,8,1,0,零
7004,1,4,2,1,一
9941,94,10,4,3,三
9099,17,9,4,3,三
2032,11,2,12,12,百
10115,19,5,5,4,四
14417,46,7,9,8,八
6878,88,8,1,0,零
6530,57,1,1,0,零
8013,10,3,3,2,二
3220,29,1,13,13,千
3724,74,4,13,13,千
9324,38,4,4,3,三
10258,31,8,5,4,四
11518,55,8,6,5,五
5397,44,7,15,15,亿
3274,33,4,13,13,千
7201,27,10,2,1,一
5922,92,2,15,15,亿
9567,6,7,4,3,三
6622,65,2,1,0,零
11394,44,4,6,5,五
5893,9,3,15,15,亿
12503,54,3,7,6,六
9269,32,9,4,3,三
14311,37,10,9,8,八
6398,44,8,1,0,零
8040,12,1,3,2,二
9430,48,1,4,3,三
9192,26,2,4,3,三
8174,24,4,3,2,二
9559,59,9,4,3,三
13226,29,6,8,7,七
2183,25,3,12,12,百
10601,63,10,5,4,四
5138,20,8,15,15,亿
4543,58,3,14,14,万
4203,27,3,14,14,万
14900,90,1,9,8,八
9552,59,2,4,3,三
1893,9,3,11,10,十
3237,3,7,13,13,千
4642,67,2,14,14,万
13241,30,10,8,7,七
2552,59,2,12,12,百
13281,34,10,8,7,七
12521,56,10,7,6,六
12099,17,9,7,6,六
10186,25,6,5,4,四
3655,68,5,13,13,千
5682,70,2,15,15,亿
13727,74,7,8,7,七
6163,23,3,1,0,零
10734,75,4,5,4,四
3501,54,10,13,13,千
13735,75,5,8,7,七
8925,92,5,3,2,二
7019,10,9,2,1,一
6106,18,6,1,0,零
2933,93,3,12,12,百
7050,13,1,2,1,一
10782,8,2,5,4,四
11691,71,10,6,5,五
6346,4,6,1,0,零
7739,75,9,2,1,一
5007,1,7,15,15,亿
11245,30,5,6,5,五
2802,81,2,12,12,百
12990,99,1,7,6,六
3855,86,5,13,13,千
13923,92,3,8,7,七
10945,94,5,5,4,四
7153,22,3,2,1,一
10247,30,7,5,4,四
7654,68,4,2,1,一
6920,92,1,1,0,零
7994,99,4,2,1,一
13083,16,3,8,7,七
1380,43,1,11,10,十
15,10,5,10,9,九
3327,38,7,13,13,千
4085,16,5,14,14,万
9574,60,4,4,3,三
2296,35,6,12,12,百
4128,2,8,14,14,万
13086,16,6,8,7,七
3982,98,2,13,13,千
5221,29,10,15,15,亿
5375,42,5,15,15,亿
4732,75,2,14,14,万
6676,7,6,1,0,零
7030,11,1,2,1,一
10803,81,3,5,4,四
1213,28,3,11,10,十
7450,5,1,2,1,一
12427,47,7,7,6,六
5158,22,8,15,15,亿
1887,89,7,11,10,十
7626,65,6,2,1,一
2580,61,1,12,12,百
9111,19,10,4,3,三
14924,92,4,9,8,八
10072,15,2,5,4,四
1857,86,7,11,10,十
12040,12,1,7,6,六
6483,52,3,1,0,零
13574,60,4,8,7,七
13891,9,10,8,7,七
8732,75,2,3,2,二
14776,79,6,9,8,八
13198,26,8,8,7,七
5857,86,7,15,15,亿
445,49,5,10,9,九
10629,65,9,5,4,四
9939,93,9,4,3,三
3810,82,1,13,13,千
3201,27,10,13,13,千
14899,9,9,9,8,八
8858,86,8,3,2,二
12280,34,1,7,6,六
14366,41,6,9,8,八
11644,67,4,6,5,五
10045,12,5,5,4,四
4697,71,7,14,14,万
8379,42,9,3,2,二
3483,52,3,13,13,千
8744,76,4,3,2,二
6053,13,3,1,0,零
12459,5,9,7,6,六
